cat_id,Cat_sex,neuroticism,energy_level,affection,child_friendly,pet_friendly,vocal,trainability,grooming,independence,dominance,sex_Female,sex_Male,sex_Unknown,cat_name,cat_breed
CAT_00001,Male,3,5,5,6,5,7,4,4,4,5,0,1,0,Bruiser,British Shorthair
CAT_00002,Female,4,3,7,4,2,2,4,4,2,6,1,0,0,Luna,Ragdoll
CAT_00003,Male,3,6,4,4,4,6,4,4,5,5,0,1,0,Jasper,Abyssinian
CAT_00004,Female,5,3,2,2,2,2,4,2,5,4,1,0,0,Griselda,Sphynx
CAT_00005,Male,1,5,7,7,4,6,6,6,4,3,0,1,0,Sunny,Maine Coon
CAT_00006,Female,3,3,5,6,4,5,3,5,6,4,1,0,0,Whiskers,Birman
CAT_00007,Male,2,4,4,4,3,5,5,4,6,6,0,1,0,Thane,American Bobtail
CAT_00008,Female,7,6,4,4,3,6,4,2,2,4,1,0,0,Ripley,Savannah
CAT_00009,Male,4,3,3,4,1,1,6,5,4,3,0,1,0,Bronson,Russian Blue
CAT_00010,Female,7,2,7,4,1,7,1,1,4,3,1,0,0,Onyx,Persian
CAT_00011,Male,4,4,7,3,3,5,4,4,5,4,0,1,0,Bruiser,British Shorthair
CAT_00012,Male,1,1,1,4,3,1,4,4,6,5,0,1,0,Chill,British Longhair
CAT_00013,Male,1,4,7,6,5,6,6,6,6,3,0,1,0,Maverick,Abyssinian
CAT_00014,Male,4,3,7,4,2,2,5,2,4,1,0,1,0,Loki,Russian Blue
CAT_00015,Female,2,6,6,6,7,7,6,6,4,2,1,0,0,Sassy,Siamese
CAT_00016,Male,1,5,7,7,6,7,7,7,6,4,0,1,0,Zeus,Maine Coon
CAT_00017,Female,4,4,2,2,1,7,5,2,6,4,1,0,0,Whiskers,Korat
CAT_00018,Male,2,4,7,6,5,3,4,4,4,7,0,1,0,Jasper,Norwegian Forest Cat
CAT_00019,Male,4,6,7,4,5,1,2,3,3,4,0,1,0,Riot,Bengal
CAT_00020,Female,4,5,4,4,5,4,4,3,2,3,1,0,0,Luna,Siberian
CAT_00021,Male,3,5,6,5,5,6,4,4,4,4,0,1,0,Rufus,Abyssinian
CAT_00022,Female,4,4,5,5,3,6,6,6,6,3,1,0,0,Luna,British Longhair
CAT_00023,Female,5,4,6,5,5,5,5,4,5,2,1,0,0,Whiskers,Maine Coon
CAT_00024,Male,4,6,6,6,2,1,6,4,4,5,0,1,0,Blaze,Ocicat
CAT_00025,Female,1,5,6,6,5,7,6,5,4,2,1,0,0,Cleo,Siamese
CAT_00026,Female,2,2,7,7,3,6,6,6,6,3,1,0,0,Sophie,Ragdoll
CAT_00027,Female,4,7,6,4,7,7,4,4,6,3,1,0,0,Xena,Abyssinian
CAT_00028,Male,4,5,5,5,4,3,3,4,4,4,0,1,0,Jasper,Domestic Shorthair
CAT_00029,Male,5,5,4,3,5,4,5,4,3,3,0,1,0,Onyx,Bengal
CAT_00030,Male,4,4,5,3,3,5,4,2,5,5,0,1,0,Thane,British Shorthair
CAT_00031,Male,2,3,6,5,2,6,6,6,4,5,0,1,0,Maverick,Abyssinian
CAT_00032,Female,2,6,6,2,3,2,6,4,4,3,1,0,0,Luna,Korat
CAT_00033,Male,3,4,6,6,5,7,5,4,4,5,0,1,0,Jasper,Maine Coon
CAT_00034,Female,4,6,5,5,7,4,6,6,6,4,1,0,0,Willow,Ocicat
CAT_00035,Female,3,4,4,5,4,7,5,5,6,3,1,0,0,Onyx,Singapura
CAT_00036,Unknown,6,3,5,6,3,2,4,5,4,6,0,0,1,Socks,Norwegian Forest Cat
CAT_00037,Male,4,4,6,5,4,7,2,2,4,3,0,1,0,Blaze,American Bobtail
CAT_00038,Male,4,3,6,4,4,7,4,3,6,6,0,1,0,Kaiser,Russian Blue
CAT_00039,Male,2,5,6,5,2,4,6,4,5,4,0,1,0,Hunter,Bengal
CAT_00040,Male,2,7,7,6,7,7,5,6,6,2,0,1,0,Zeus,Savannah
CAT_00041,Male,1,4,6,5,3,6,7,6,6,7,0,1,0,Rocket,British Shorthair
CAT_00042,Female,2,5,7,6,7,7,4,4,4,2,1,0,0,Luna,Balinese
CAT_00043,Female,4,6,7,3,2,7,5,4,5,2,1,0,0,Onyx,Sphynx
CAT_00044,Male,1,4,7,6,5,7,4,4,3,1,0,1,0,Jasper,Ragdoll
CAT_00045,Female,4,5,6,4,5,5,6,4,5,3,1,0,0,Whiskers,Maine Coon
CAT_00046,Unknown,3,3,6,6,4,6,5,5,6,4,0,0,1,Muffin,British Longhair
CAT_00047,Male,2,5,7,6,5,4,6,5,4,2,0,1,0,Finn,Siberian
CAT_00048,Male,2,7,7,4,7,6,5,2,3,1,0,1,0,Blaze,Abyssinian
CAT_00049,Male,6,5,6,4,2,5,4,4,4,5,0,1,0,Brutus,Norwegian Forest Cat
CAT_00050,Female,1,2,7,6,3,7,6,6,4,5,1,0,0,Cleo,Persian
CAT_00051,Female,4,4,4,4,2,2,5,4,6,3,1,0,0,Luna,Abyssinian
CAT_00052,Male,2,6,7,6,2,6,5,6,5,2,0,1,0,Jasper,American Bobtail
CAT_00053,Female,2,4,7,4,5,2,4,4,4,2,1,0,0,Lola,British Shorthair
CAT_00054,Female,2,5,7,4,7,5,4,4,2,1,1,0,0,Willow,Maine Coon
CAT_00055,Female,3,6,6,4,4,7,6,4,5,3,1,0,0,Whiskey,Siamese
CAT_00056,Female,2,4,6,4,3,2,6,4,5,6,1,0,0,Piper,Cornish Rex
CAT_00057,Male,4,5,6,1,5,7,4,1,5,6,0,1,0,Thane,Norwegian Forest Cat
CAT_00058,Male,3,4,7,6,6,2,7,6,4,5,0,1,0,Finn,Bengal
CAT_00059,Female,5,6,7,6,2,6,6,4,4,5,1,0,0,Onyx,Russian Blue
CAT_00060,Male,4,6,7,4,5,5,5,4,3,2,0,1,0,Maverick,Savannah
CAT_00061,Male,1,5,7,6,6,7,3,4,4,4,0,1,0,Boris,Abyssinian
CAT_00062,Female,4,7,4,4,5,6,3,2,4,1,1,0,0,Blaze,Korat
CAT_00063,Female,1,2,6,6,3,7,3,3,5,3,1,0,0,Luna,Ragdoll
CAT_00064,Female,4,4,4,4,4,5,4,4,4,4,1,0,0,Midge,British Shorthair
